YEAR      MONTH     DAY       HOUR      MIN       SEC       GDLATR        GDLONR        INTTMS     GDALT      DGDALT     VIPN2         DVIPN2        VIPE1         DVIPE1        
  2005         9         6        12         2        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        12         7        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        12        12        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        12        17        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        12        22        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        12        27        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        12        32        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        12        37        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        12        42        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        12        47        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        12        52        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        12        57        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13         2        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13         7        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13        12        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13        17        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13        22        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13        27        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13        32        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13        37        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13        42        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13        47        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13        52        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        13        57        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        14         2        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        14         7        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        14        12        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00        missing       missing       missing       missing 
  2005         9         6        14        17        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.21400e+01   7.40000e-01        missing       missing 
  2005         9         6        14        22        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.16700e+01   7.40000e-01        missing       missing 
  2005         9         6        14        27        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.03300e+01   8.70000e-01        missing       missing 
  2005         9         6        14        32        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.04400e+01   7.50000e-01  -2.80000e+01   2.70000e+00  
  2005         9         6        14        37        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   1.95000e+01   1.18000e+00  -2.90000e+01   6.80000e+00  
  2005         9         6        14        42        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   1.83000e+01   6.20000e-01  -3.36000e+01   7.10000e+00  
  2005         9         6        14        47        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   1.99200e+01   5.20000e-01  -3.67000e+01   5.50000e+00  
  2005         9         6        14        52        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.12100e+01   9.20000e-01  -1.77000e+01   6.20000e+00  
  2005         9         6        14        57        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.23900e+01   7.00000e-01  -3.21000e+01   5.60000e+00  
  2005         9         6        15         2        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.51300e+01   8.90000e-01  -3.11000e+01   5.70000e+00  
  2005         9         6        15         7        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.85300e+01   9.40000e-01  -3.37000e+01   4.60000e+00  
  2005         9         6        15        12        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   3.02900e+01   7.50000e-01  -3.85000e+01   6.10000e+00  
  2005         9         6        15        17        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.87200e+01   6.80000e-01  -4.37000e+01   4.50000e+00  
  2005         9         6        15        22        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.73400e+01   6.40000e-01  -2.83000e+01   6.10000e+00  
  2005         9         6        15        27        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.73900e+01   7.20000e-01  -2.40000e+01   4.10000e+00  
  2005         9         6        15        32        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.59800e+01   6.30000e-01  -4.10000e+01   6.40000e+00  
  2005         9         6        15        37        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.62200e+01   6.10000e-01  -2.47000e+01   3.90000e+00  
  2005         9         6        15        42        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.61400e+01   6.80000e-01  -2.71000e+01   6.80000e+00  
  2005         9         6        15        47        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.54300e+01   6.50000e-01  -2.15000e+01   3.20000e+00  
  2005         9         6        15        52        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.41000e+01   1.19000e+00  -2.58000e+01   3.70000e+00  
  2005         9         6        15        57        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.24900e+01   6.60000e-01  -4.15000e+01   8.80000e+00  
  2005         9         6        16         2        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.31000e+01   7.70000e-01  -4.58000e+01   6.70000e+00  
  2005         9         6        16         7        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.38500e+01   6.70000e-01  -2.27000e+01   1.04000e+01  
  2005         9         6        16        12        30    -1.19500e+01  -7.68700e+01      300.0     155.00      15.00   2.22800e+01   8.10000e-01  -2.48000e+01   7.00000e+00  
